"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149/주택임대차신고 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200101 ~ 20201231"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 영등포구"
"읍면동 : 여의도동"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일","등기신청일자","거래유형","중개사소재지"
"서울특별시 영등포구 여의도동","21-2","0021","0002","공작","93.06","202002","6","159,000","6","1976","여의대로6길 17",""," ","-","-"
"서울특별시 영등포구 여의도동","21-2","0021","0002","공작","93.06","202005","27","157,000","5","1976","여의대로6길 17",""," ","-","-"
"서울특별시 영등포구 여의도동","21-2","0021","0002","공작","93.06","202005","29","157,000","8","1976","여의대로6길 17",""," ","-","-"
"서울특별시 영등포구 여의도동","21-2","0021","0002","공작","125.75","202005","30","185,000","4","1976","여의대로6길 17",""," ","-","-"
"서울특별시 영등포구 여의도동","21-2","0021","0002","공작","126.02","202006","11","195,000","11","1976","여의대로6길 17",""," ","-","-"
"서울특별시 영등포구 여의도동","21-2","0021","0002","공작","93.06","202006","23","164,000","7","1976","여의대로6길 17",""," ","-","-"
"서울특별시 영등포구 여의도동","21-2","0021","0002","공작","91.97","202006","27","169,000","12","1976","여의대로6길 17",""," ","-","-"
"서울특별시 영등포구 여의도동","21-2","0021","0002","공작","126.02","202010","13","194,500","4","1976","여의대로6길 17",""," ","-","-"
"서울특별시 영등포구 여의도동","21-2","0021","0002","공작","93.06","202011","6","169,500","12","1976","여의대로6길 17",""," ","-","-"
"서울특별시 영등포구 여의도동","21-2","0021","0002","공작","93.06","202011","20","175,000","6","1976","여의대로6길 17",""," ","-","-"
"서울특별시 영등포구 여의도동","21-2","0021","0002","공작","93.06","202011","23","175,000","6","1976","여의대로6길 17","20201217"," ","-","-"
"서울특별시 영등포구 여의도동","21-2","0021","0002","공작","93.06","202012","14","173,000","6","1976","여의대로6길 17",""," ","-","-"
"서울특별시 영등포구 여의도동","28","0028","0000","광장","183.27","202005","11","247,000","6","1978","여의나루로 7",""," ","-","-"
"서울특별시 영등포구 여의도동","28","0028","0000","광장","155.31","202006","8","210,000","1","1978","여의나루로 7",""," ","-","-"
"서울특별시 영등포구 여의도동","28","0028","0000","광장","116.53","202006","10","195,000","8","1978","여의나루로 7",""," ","-","-"
"서울특별시 영등포구 여의도동","28","0028","0000","광장","151.54","202006","25","221,000","7","1978","여의나루로 7",""," ","-","-"
"서울특별시 영등포구 여의도동","28","0028","0000","광장","102.35","202007","13","178,000","7","1978","여의나루로 7",""," ","-","-"
"서울특별시 영등포구 여의도동","28","0028","0000","광장","183.27","202010","15","284,500","7","1978","여의나루로 7",""," ","-","-"
"서울특별시 영등포구 여의도동","28","0028","0000","광장","103.17","202012","7","191,000","4","1978","여의나루로 7",""," ","-","-"
"서울특별시 영등포구 여의도동","28","0028","0000","광장","102.35","202012","7","186,000","4","1978","여의나루로 7",""," ","-","-"
"서울특별시 영등포구 여의도동","41","0041","0000","대교","95.5","202001","13","148,000","3","1975","국제금융로7길 20",""," ","-","-"
"서울특별시 영등포구 여의도동","41","0041","0000","대교","95.5","202002","20","145,000","3","1975","국제금융로7길 20",""," ","-","-"
