"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149/주택임대차신고 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20230101 ~ 20231231"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 영등포구"
"읍면동 : 여의도동"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일","등기신청일자","거래유형","중개사소재지"
"서울특별시 영등포구 여의도동","42","0042","0000","한양","105.72","202305","8","185,000","6","1975","국제금융로 79","","20230707","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","42","0042","0000","한양","149.52","202306","5","240,000","4","1975","국제금융로 79",""," ","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","42","0042","0000","한양","109.42","202306","7","199,000","3","1975","국제금융로 79",""," ","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","42","0042","0000","한양","193.03","202307","19","298,000","3","1975","국제금융로 79",""," ","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","40-4","0040","0004","화랑","104.5","202307","11","205,000","9","1977","국제금융로7가길 21",""," ","중개거래","서울 영등포구"

"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149/주택임대차신고 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20220101 ~ 20221231"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 영등포구"
"읍면동 : 여의도동"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일","등기신청일자","거래유형","중개사소재지"
"서울특별시 영등포구 여의도동","28","0028","0000","광장","183.27","202206","29","360,000","8","1978","여의나루로 7",""," ","중개거래","서울 강남구"
"서울특별시 영등포구 여의도동","28","0028","0000","광장","101.39","202208","25","215,000","2","1978","여의나루로 7",""," ","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","28","0028","0000","광장","116.53","202209","20","230,000","5","1978","여의나루로 7",""," ","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","41","0041","0000","대교","151.74","202204","26","304,000","8","1975","국제금융로7길 20",""," ","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","48","0048","0000","대우트럼프월드II","233.92","202202","4","410,000","34","2003","여의동로 97",""," ","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","48","0048","0000","대우트럼프월드II","123.78","202205","4","187,000","20","2003","여의동로 97",""," ","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","48","0048","0000","대우트럼프월드II","123.78","202205","10","184,000","7","2003","여의동로 97",""," ","중개거래","서울 영등포구"
"서울특별시 영등포구 여의도동","55-1","0055","0001","대우트럼프월드Ⅰ","107.1","202204","14","173,000","17","2002","여의동로 143",""," ","중개거래","서울 영등포구"
